instrument,rulebook,period,trades,PF,avg_R,total_R
USDCHF,V31,TRAIN,1929,2.1614671616,0.4971009059,958.9076474463
USDCHF,V31,VALIDATION,430,2.2052614291,0.5413305577,232.772139811
USDCHF,V31,FINAL_TEST,460,2.5186956905,0.6841889161,314.7269014133
USDCHF,V35,TRAIN,1571,2.632651652,0.6641441935,1043.3705280136
USDCHF,V35,VALIDATION,367,2.8193695929,0.7207578886,264.5181451225
USDCHF,V35,FINAL_TEST,335,3.3880689047,0.9204045272,308.3355166264
NZDUSD,V31,TRAIN,2043,2.2208130156,0.4989514015,1019.357713296
NZDUSD,V31,VALIDATION,439,2.1452463742,0.4755250777,208.7555090975
NZDUSD,V31,FINAL_TEST,483,2.4825671155,0.6028031946,291.1539429796
NZDUSD,V35,TRAIN,1648,2.1727311074,0.4879643052,804.1651749682
NZDUSD,V35,VALIDATION,358,2.6191696,0.6526655562,233.6542691251
NZDUSD,V35,FINAL_TEST,378,3.3055667321,0.8537001261,322.6986476613
USDJPY,V31,TRAIN,1277,1.3088023846,0.1656683189,211.5584432097
USDJPY,V31,VALIDATION,282,1.3023270878,0.1570331922,44.2833601904
USDJPY,V31,FINAL_TEST,271,1.2616432551,0.1456078506,39.4597275156
USDJPY,V35,TRAIN,953,1.4874796058,0.2525943276,240.7223941638
USDJPY,V35,VALIDATION,223,1.6849422314,0.3432543456,76.5457190685
USDJPY,V35,FINAL_TEST,203,1.2899356342,0.1580649095,32.087176637
