instrument,timeframe,source,file_name,file_size_bytes,sha256,date_start,date_end,rows,columns,ohlc_available,bid_ask_available,spread_available,duplicate_count,chronology_status,missing_bar_characteristics,data_quality_status,source_rulebook_id
EURUSD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
EURUSD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
USDJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
USDJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
GBPJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
GBPJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
EURGBP,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
EURGBP,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
AUDUSD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
AUDUSD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
NZDUSD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
NZDUSD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
USDCAD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
