source_rulebook_id,target_instrument,data_file,data_hash,normalization_version,parameter_mapping_version,result,qualification
AEGIS-RB-V31-GBPUSD-5M,EURUSD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,EURUSD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,USDJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,USDJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,GBPJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,GBPJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,EURGBP,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,EURGBP,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,AUDUSD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,AUDUSD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,NZDUSD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,NZDUSD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,USDCAD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,USDCAD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,USDCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,USDCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,EURCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,EURCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,EURJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,EURJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,AUDJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,AUDJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,CADJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,CADJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,CHFJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,CHFJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,EURAUD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,EURAUD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,EURNZD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,EURNZD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,GBPAUD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,GBPAUD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,GBPCAD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,GBPCAD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,GBPCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,GBPCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,GBPNZD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,GBPNZD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,AUDCAD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,AUDCAD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,AUDCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,AUDCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,AUDNZD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,AUDNZD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,CADCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,CADCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,NZDJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,NZDJPY,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,NZDCAD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,NZDCAD,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V31-GBPUSD-5M,NZDCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AEGIS-RB-V35-GBPUSD-5M,NZDCHF,,,V39.1,V39.1-PREDECLARED-ATR-MEDIAN,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
