instrument,asset_class,base_currency,quote_currency,timeframe,data_source,data_hash,coverage,spread_availability,volatility_profile,transfer_eligibility,qualification_status
EURUSD,FOREX,EUR,USD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
USDJPY,FOREX,USD,JPY,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
GBPJPY,FOREX,GBP,JPY,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
EURGBP,FOREX,EUR,GBP,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AUDUSD,FOREX,AUD,USD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
NZDUSD,FOREX,NZD,USD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
USDCAD,FOREX,USD,CAD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
USDCHF,FOREX,USD,CHF,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
EURCHF,FOREX,EUR,CHF,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
EURJPY,FOREX,EUR,JPY,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AUDJPY,FOREX,AUD,JPY,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
CADJPY,FOREX,CAD,JPY,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
CHFJPY,FOREX,CHF,JPY,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
EURAUD,FOREX,EUR,AUD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
EURNZD,FOREX,EUR,NZD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
GBPAUD,FOREX,GBP,AUD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
GBPCAD,FOREX,GBP,CAD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
GBPCHF,FOREX,GBP,CHF,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
GBPNZD,FOREX,GBP,NZD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AUDCAD,FOREX,AUD,CAD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AUDCHF,FOREX,AUD,CHF,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
AUDNZD,FOREX,AUD,NZD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
CADCHF,FOREX,CAD,CHF,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
NZDJPY,FOREX,NZD,JPY,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
NZDCAD,FOREX,NZD,CAD,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
NZDCHF,FOREX,NZD,CHF,M5,,,,UNKNOWN,NOT_COMPUTED,DATA_NOT_AVAILABLE,DATA_NOT_AVAILABLE
