instrument,asset_class,timeframe,target_status,rulebook_status,source_rulebooks
EURUSD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
USDJPY,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
GBPJPY,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
EURGBP,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
AUDUSD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
NZDUSD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
USDCAD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
USDCHF,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
EURCHF,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
EURJPY,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
AUDJPY,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
CADJPY,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
CHFJPY,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
EURAUD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
EURNZD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
GBPAUD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
GBPCAD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
GBPCHF,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
GBPNZD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
AUDCAD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
AUDCHF,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
AUDNZD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
CADCHF,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
NZDJPY,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
NZDCAD,FOREX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
XAUUSD,METALS,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
XAGUSD,METALS,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
BTCUSD,CRYPTO,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
ETHUSD,CRYPTO,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
BNBUSD,CRYPTO,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
Volatility 10 Index,VOLATILITY_INDEX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
Volatility 25 Index,VOLATILITY_INDEX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
Volatility 50 Index,VOLATILITY_INDEX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
Volatility 100 Index,VOLATILITY_INDEX,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
Crash 300 Index,CRASH_BOOM,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
Crash 500 Index,CRASH_BOOM,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
Boom 300 Index,CRASH_BOOM,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
Boom 500 Index,CRASH_BOOM,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
AAPL,SHARES,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
MSFT,SHARES,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
AMZN,SHARES,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
TSLA,SHARES,M5,DATA_REQUIRED,TRANSFER_PENDING,"V31,V35"
