event_i,exit_i,entry,exit,R,reason,signal_datetime,entry_datetime,exit_datetime,duration_bars
55,61,1.27175,1.27129061625468,0.8587007839087398,STOP,2024-01-01 21:35:00,2024-01-01 21:40:00,2024-01-01 22:05:00,6
71,78,1.27192,1.271480598023998,0.852845817127928,STOP,2024-01-01 22:55:00,2024-01-01 23:00:00,2024-01-01 23:30:00,7
140,149,1.27276,1.2711339829856605,1.5819141997557349,STOP,2024-01-02 04:40:00,2024-01-02 04:45:00,2024-01-02 05:25:00,9
155,160,1.26957,1.267506594463288,1.9535198078713183,STOP,2024-01-02 05:55:00,2024-01-02 06:00:00,2024-01-02 06:20:00,5
175,191,1.26484,1.2630750572055516,1.5365132118868796,STOP,2024-01-02 07:35:00,2024-01-02 07:40:00,2024-01-02 08:55:00,16
275,315,1.26185,1.2624228473374608,-1.08500000000014,STOP,2024-01-02 15:55:00,2024-01-02 16:00:00,2024-01-02 19:15:00,40
448,454,1.26213,1.2629246765391116,-1.085000000000137,STOP,2024-01-03 06:20:00,2024-01-03 06:25:00,2024-01-03 06:50:00,6
759,765,1.26938,1.267724923182603,1.8184742733484143,STOP,2024-01-04 08:15:00,2024-01-04 08:20:00,2024-01-04 08:45:00,6
778,780,1.26827,1.269395064235546,-1.0850000000000504,STOP,2024-01-04 09:50:00,2024-01-04 09:55:00,2024-01-04 10:00:00,2
843,868,1.2682,1.2687741930997536,-1.0850000000001796,STOP,2024-01-04 15:15:00,2024-01-04 15:20:00,2024-01-04 17:25:00,25
948,963,1.26769,1.267138929640938,1.5365745085425662,STOP,2024-01-05 00:05:00,2024-01-05 00:10:00,2024-01-05 01:20:00,15
1022,1033,1.26563,1.2663061693571613,-1.0849999999998752,STOP,2024-01-05 06:15:00,2024-01-05 06:20:00,2024-01-05 07:10:00,11
1151,1159,1.27293,1.271551092245631,2.1959809664024146,STOP,2024-01-07 17:00:00,2024-01-07 17:05:00,2024-01-07 17:40:00,8
1163,1172,1.27149,1.271067827068603,0.7561590019735093,STOP,2024-01-07 18:00:00,2024-01-07 18:05:00,2024-01-07 18:45:00,9
1209,1222,1.27128,1.2701361480207645,2.6734982313302122,STOP,2024-01-07 21:50:00,2024-01-07 21:55:00,2024-01-07 22:55:00,13
1241,1246,1.27002,1.2703646861634141,-1.0850000000002322,STOP,2024-01-08 00:30:00,2024-01-08 00:35:00,2024-01-08 00:55:00,5
1448,1463,1.27487,1.274268439665613,1.668602376216885,STOP,2024-01-08 17:45:00,2024-01-08 17:50:00,2024-01-08 19:00:00,15
1527,1537,1.27414,1.2745465808306093,-1.0850000000002424,STOP,2024-01-09 00:20:00,2024-01-09 00:25:00,2024-01-09 01:10:00,10
1548,1554,1.27446,1.2749361640706909,-1.084999999999825,STOP,2024-01-09 02:05:00,2024-01-09 02:10:00,2024-01-09 02:35:00,6
