rulebook_id,instrument,timeframe,status,winner_rule_id,family,direction,validation_pf,validation_trades,final_test_pf,final_test_trades,production_authorized
AEGIS-RB-V2OPT-EURGBP-M5,EURGBP,M5,QUALIFIED_RESEARCH_CANDIDATE,TR_rsi_os_long,trailing_exit,LONG,7.3831,75,5.4978,82,FALSE
AEGIS-RB-V2OPT-EURJPY-M5,EURJPY,M5,QUALIFIED_RESEARCH_CANDIDATE,META_mr_confirm_long,meta,LONG,1.1851,343,1.189,404,FALSE
AEGIS-RB-V2OPT-EURUSD-M5,EURUSD,M5,QUALIFIED_RESEARCH_CANDIDATE,TR_rsi_os_long,trailing_exit,LONG,2.4742,62,1.044,64,FALSE
AEGIS-RB-V2OPT-GBPAUD-M5,GBPAUD,M5,QUALIFIED_RESEARCH_CANDIDATE,TR_bb_long,trailing_exit,LONG,1.2192,528,1.8476,472,FALSE
AEGIS-RB-V2OPT-GBPJPY-M5,GBPJPY,M5,QUALIFIED_RESEARCH_CANDIDATE,TR_rsi_os_long,trailing_exit,LONG,3.0001,68,5.3883,91,FALSE
AEGIS-RB-V2OPT-GBPUSD-M5,GBPUSD,M5,QUALIFIED_RESEARCH_CANDIDATE,TR_bb_long,trailing_exit,LONG,1.6772,481,1.3028,511,FALSE
AEGIS-RB-V2OPT-NZDUSD-M5,NZDUSD,M5,QUALIFIED_RESEARCH_CANDIDATE,TR_rsi_os_long,trailing_exit,LONG,4.4334,76,2.2761,77,FALSE
AEGIS-RB-V2OPT-USDCAD-M5,USDCAD,M5,QUALIFIED_RESEARCH_CANDIDATE,TR_bb_long,trailing_exit,LONG,1.7112,502,1.3879,544,FALSE
AEGIS-RB-V2OPT-USDCHF-M5,USDCHF,M5,QUALIFIED_RESEARCH_CANDIDATE,MR_zscore_long,mean_reversion,LONG,1.2751,2670,1.2552,2737,FALSE
AEGIS-RB-V2OPT-USDJPY-M5,USDJPY,M5,QUALIFIED_RESEARCH_CANDIDATE,TR_rsi_os_long,trailing_exit,LONG,1.9092,68,3.7075,88,FALSE
