rulebook_id,source_rulebook_id,instrument,timeframe,status,mechanism_family,validation_trades,validation_pf,final_test_trades,final_test_pf,min_6block_pf,median_atr14,median_spread,spread_atr_median_ratio,normalized_1R,production_authorization
AEGIS-RB-V53.6-V31-AUDUSD-5M,AEGIS-RB-V31-GBPUSD-5M,AUDUSD,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,684,1.921,683,1.983,1.578,0.00030436740573298805,0.0001,0.3326317626770434,0.0007856819936020596,FALSE
AEGIS-RB-V53.6-V31-EURCHF-5M,AEGIS-RB-V31-GBPUSD-5M,EURCHF,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,687,2.435,644,3.468,2.177,0.00024106507913802737,0.00011,0.4754328222348954,0.0006222758692208938,FALSE
AEGIS-RB-V53.6-V31-EURGBP-5M,AEGIS-RB-V31-GBPUSD-5M,EURGBP,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,644,2.306,603,2.862,1.853,0.00020794549670422353,9e-05,0.42789750982463826,0.0005367822878986988,FALSE
AEGIS-RB-V53.6-V31-GBPJPY-5M,AEGIS-RB-V31-GBPUSD-5M,GBPJPY,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,698,1.739,663,2.376,1.182,0.07719787426220234,0.02,0.2563830396132196,0.19927554202494735,FALSE
AEGIS-RB-V53.6-V31-GBPNZD-5M,AEGIS-RB-V31-GBPUSD-5M,GBPNZD,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,696,3.308,666,3.977,2.529,0.0007989486197300848,0.00051,0.6594256966246195,0.0020623743952590816,FALSE
AEGIS-RB-V53.6-V31-NZDCHF-5M,AEGIS-RB-V31-GBPUSD-5M,NZDCHF,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,725,6.461,636,7.054,3.059,0.00024559406161623655,0.00017,0.7547098180556088,0.0006339668056202722,FALSE
AEGIS-RB-V53.6-V31-NZDJPY-5M,AEGIS-RB-V31-GBPUSD-5M,NZDJPY,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,726,2.828,705,2.883,1.742,0.04377531882127528,0.01,0.23954670866218686,0.1129998781546196,FALSE
AEGIS-RB-V53.6-V31-NZDUSD-5M,AEGIS-RB-V31-GBPUSD-5M,NZDUSD,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,728,2.281,722,2.523,2.067,0.0002830634202729342,0.00011,0.3909727577617666,0.0007306887273959919,FALSE
AEGIS-RB-V53.6-V31-USDCAD-5M,AEGIS-RB-V31-GBPUSD-5M,USDCAD,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,650,1.834,632,1.805,1.299,0.0003457163234648027,0.00013,0.3710050767100407,0.0008924184558674035,FALSE
AEGIS-RB-V53.6-V31-USDCHF-5M,AEGIS-RB-V31-GBPUSD-5M,USDCHF,M5,QUALIFIED_RESEARCH_CANDIDATE,12-bar compression + low exhaustion + down-break continuation,729,2.387,735,2.375,1.953,0.0002966512829437972,9e-05,0.32855418363304545,0.0007657638991487785,FALSE
